epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,8726.05,2.23146,1.90038,2.11749,0.73764,0.69858,0.743,0.4682,2.8137,1.82334,2.57839,0.006139,0.006139,0.006139
80,8836.28,2.20675,1.79134,2.08415,0.77087,0.72559,0.78531,0.5002,2.81205,1.79017,2.57755,0.0060895,0.0060895,0.0060895
81,8946.73,2.15777,1.77142,2.08272,0.79256,0.70329,0.77324,0.4941,2.78805,1.84584,2.55678,0.00604,0.00604,0.00604
82,9057.26,2.16308,1.76361,2.09122,0.77274,0.7054,0.7752,0.49046,2.7934,1.80877,2.55086,0.0059905,0.0059905,0.0059905
83,9167.63,2.14253,1.72972,2.07517,0.72449,0.73941,0.79046,0.49972,2.80461,1.78726,2.56875,0.005941,0.005941,0.005941
84,9278.29,2.15473,1.74226,2.06544,0.7265,0.72603,0.77857,0.48917,2.79689,1.82822,2.57258,0.0058915,0.0058915,0.0058915
85,9388.66,2.12578,1.71832,2.06374,0.73971,0.74185,0.77911,0.49008,2.83872,1.78869,2.61009,0.005842,0.005842,0.005842
86,9499,2.13331,1.72363,2.07043,0.72358,0.72279,0.76359,0.48508,2.8083,1.87987,2.58246,0.0057925,0.0057925,0.0057925
87,9609.51,2.12271,1.66564,2.06471,0.79146,0.70781,0.78087,0.49247,2.8168,1.80846,2.58672,0.005743,0.005743,0.005743
88,9719.92,2.11274,1.65494,2.06808,0.77819,0.69581,0.77166,0.49163,2.79535,1.82449,2.58525,0.0056935,0.0056935,0.0056935
89,9830.31,2.0839,1.61524,2.04175,0.73232,0.72748,0.78322,0.49751,2.77932,1.76586,2.5846,0.005644,0.005644,0.005644
90,9940.77,2.07799,1.63784,2.03759,0.71469,0.73249,0.77679,0.4973,2.7844,1.87438,2.58006,0.0055945,0.0055945,0.0055945
91,10050.9,2.08272,1.62187,2.04476,0.76664,0.69068,0.76297,0.48285,2.79458,1.86331,2.57616,0.005545,0.005545,0.005545
92,10161,2.07954,1.61847,2.05195,0.77052,0.69212,0.75937,0.48023,2.80494,1.87457,2.57428,0.0054955,0.0054955,0.0054955
93,10271.2,2.04854,1.55676,2.03844,0.77222,0.7018,0.76965,0.48602,2.78823,1.81313,2.57661,0.005446,0.005446,0.005446
